Category Name,Product Name,Number of Reviews,Average Rating,Paper Type,Coating,Color,Quantities,Sizes,Finishing,File Type
Business Cards,14pt (Profit Maximizer),329,4.5,14PT Gloss (95 Bright C2S),No Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 5,000",3.5” x 2” (firm size),Cut to size and box.,Print Ready PDF file
Business Cards,14pt + Matte Finish,276,4.8,95 Bright 14pt C2S Stock,Matte Finish,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 100 to 25,000","3.5"" x 2"" (firm size)",Cut to size and box.,Print Ready PDF file
Business Cards,16pt + Matte Finish,385,4.8,95 Bright 16pt Gloss C2S Stock,Matte Finish,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 100 to 25,000",3.5” x 2” (firm size),Cut to size and box.,Print Ready PDF file
Business Cards,14pt + UV (High Gloss),288,4.8,95 Bright 14pt C2S Stock,High Gloss UV Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,16pt + UV (High Gloss),328,4.9,95 Bright 16pt Gloss C2S Stock,High Gloss UV Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,18pt Gloss Lamination,57,4.8,95 Bright 16pt C2S Stock (18pt with double sided lamination),Gloss Lamination,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)",Ranges from 25 to 5000,3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,18pt Matte / Silk Lamination,288,4.8,95 Bright 16pt C2S Stock (18pt with double sided lamination),Matte Lamination,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,14pt + AQ,284,4.7,95 Bright 14pt C2S Stock,"AQ Coating
Not recommended for writing or stamping","Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 250 to 25,000","3.5” x 2”, 3.5"" x 1.75"", 3.5"" x 1.5""","Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,16pt + AQ,227,4.8,95 Bright 16pt Gloss C2S Stock,"AQ Coating
Not recommended for writing or stamping","Full color CMYK:  1 sided (4/0), or 2 sided (4/4)","Ranges from 250 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,18PT Writable (C1S),31,4.8,95 Bright 18pt C1S Stock,No Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 100 to 1,000",3.5” x 2” (firm size),Cut to size and box. ,Print Ready PDF file
Business Cards,13pt Enviro Uncoated,63,4.7,"13pt Enviro Stock
(contains 30% post consumer recycled material)",No Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,13pt Linen Uncoated,27,4.6,13pt Linen Card Stock,No Coating,"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 25,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,14pt Writable + AQ (C1S),143,4.9,90 Bright 14pt C1S Stock,AQ Coating (only 1 side),"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 250 to 5,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,14pt Writable + UV (C1S),91,4.8,90 Bright 14pt C1S Stock,High Gloss UV Coating (only 1 side),"Full color CMYK: 1 sided (4/0), or 2 sided (4/4)","Ranges from 25 to 5,000",3.5” x 2” (firm size),"Cut to size and box. Rounded corners are optional (1/4"" radius).",Print Ready PDF file
Business Cards,Metallic Foil (Raised),51,4.8,,,,,,,
Business Cards,Kraft Paper,6,4.7,,,,,,,
Business Cards,Durable,10,5.0,,,,,,,
Business Cards,Spot UV (Raised),200,4.8,,,,,,,
Business Cards,Pearl Paper,15,4.6,,,,,,,
Business Cards,Die Cut,10,4.7,,,,,,,
Business Cards,Soft Touch (Suede),89,4.9,,,,,,,
Business Cards,32pt Painted Edge,16,4.8,,,,,,,
Business Cards,Ultra Smooth,4,4.4,,,,,,,
